Date,MSFT,AAPL,AMZN,GOOG,SP500
2020-08-13 00:00:00-04:00,0.3660446951719675,0.5047726577751942,1.2766432036062572,0.03721048715330924,0.2394323304252959
2020-08-14 00:00:00-04:00,0.36776151590740097,0.503072262888401,1.2642506438477488,0.023842189407186565,0.23882826547196323
2020-08-17 00:00:00-04:00,0.3796056255828248,0.49809463275262655,1.2970339943953462,0.03662441702224301,0.24835010953845393
2020-08-18 00:00:00-04:00,0.3899910616356099,0.513938980359787,1.4210369763857016,0.0872789531848233,0.2564656903935862
2020-08-19 00:00:00-04:00,0.3789785030907334,0.516344347607391,1.3714568461118966,0.07347433764307243,0.24091184446046904
2020-08-20 00:00:00-04:00,0.4209638316733078,0.5589420663973345,1.4066234036068084,0.11614785448509726,0.25201722890567524
2020-08-21 00:00:00-04:00,0.40754235225139057,0.6600638762635438,1.3945642368123652,0.11448935212718388,0.26415397477646624
2020-08-24 00:00:00-04:00,0.4133066429839106,0.6847428251976132,1.4162420524470254,0.12419128646896106,0.2996999544050816
2020-08-25 00:00:00-04:00,0.43722438672511493,0.6676123461463676,1.4534485326854147,0.14915692263983193,0.31255572832769224
2020-08-26 00:00:00-04:00,0.47748923194900555,0.6957755326743066,1.5443536808872005,0.20422601303641758,0.3491328150387542
2020-08-27 00:00:00-04:00,0.5242063984656341,0.6706820615445981,1.504458819862662,0.18171692407076262,0.35519610111138483
2020-08-28 00:00:00-04:00,0.5442527494311957,0.667322154734127,1.5061746590442124,0.1942869866870727,0.3796364419516558
2020-08-31 00:00:00-04:00,0.515172877350375,0.7375431720612473,1.5530381894066378,0.18152987636334766,0.3716147137145361
2020-09-01 00:00:00-04:00,0.5301433751017735,0.8228207636967617,1.5989480878875573,0.2146137255445463,0.3990552862135491
2020-09-02 00:00:00-04:00,0.567826749197717,0.7766975362204365,1.6297677364216814,0.2988759586385932,0.4555100522078989
2020-09-03 00:00:00-04:00,0.4443654168416357,0.60216118035134,1.4739536545695104,0.19108224865219692,0.32447373909959226
2020-09-04 00:00:00-04:00,0.418124349085279,0.6034885828879373,1.404001934148526,0.12773282454668985,0.2951993525738304
2020-09-08 00:00:00-04:00,0.31840956674662546,0.4684383124357138,1.2659856836712087,0.054594126427275916,0.19610446813892615
2020-09-09 00:00:00-04:00,0.3926579939727324,0.5430975894137084,1.3792069233917374,0.08523379676641427,0.2660292467347491
2020-09-10 00:00:00-04:00,0.3417251480949261,0.4795544677326904,1.2900749253784138,0.054132691340316307,0.20376146831580205
2020-09-11 00:00:00-04:00,0.3301961596717472,0.45483373020024664,1.2339363212984251,0.04004132005586517,0.2056158841367488
2020-09-14 00:00:00-04:00,0.34206916337503507,0.5105792029257815,1.2213052081101319,0.038245433725669374,0.24996493412317358
2020-09-15 00:00:00-04:00,0.3710631672885415,0.5135657292566599,1.271981811404497,0.06587978210050253,0.26836284502815005
2020-09-16 00:00:00-04:00,0.3389718049796375,0.4569904358810534,1.1975970700529488,0.04026566313525708,0.2519963727683391
2020-09-17 00:00:00-04:00,0.3205604761635844,0.4272928444716286,1.131467731966042,0.008628341595735535,0.2223262283194675
2020-09-18 00:00:00-04:00,0.2988793743539403,0.3692244173070484,1.0801621621897317,-0.035691309241047076,0.1832174100103114
2020-09-21 00:00:00-04:00,0.3173769782954466,0.4229791743570839,1.0854624121132086,-0.0716432866967786,0.14320236709958717
2020-09-22 00:00:00-04:00,0.359362306878021,0.4516814726169919,1.2461095282690582,-0.028869871536958375,0.17915453271998039
2020-09-23 00:00:00-04:00,0.3005999933653371,0.3738699380557424,1.1230121765554348,-0.09153351747611391,0.09721763639110663
2020-09-24 00:00:00-04:00,0.3229692613879121,0.392119911663438,1.1420112117249006,-0.0752223104289944,0.10729191375386621
2020-09-25 00:00:00-04:00,0.3628038162062406,0.4594789921960096,1.2138315037062613,-0.05443413648456118,0.16132940256233239
2020-09-28 00:00:00-04:00,0.3767415898537472,0.5039428371251226,1.28906456432763,-0.030042202081600917,0.21669023871908905
2020-09-29 00:00:00-04:00,0.3579857031467332,0.48950895174544595,1.261257380141582,-0.024043926516146143,0.19988604191835785
2020-09-30 00:00:00-04:00,0.3843987785431444,0.5180452600000465,1.2649273210156509,-0.02370712647329315,0.22856653721631684
2020-10-01 00:00:00-04:00,0.4027243748445962,0.5343045179322428,1.334069123450634,0.0018445798286439487,0.24711044108264615
2020-10-02 00:00:00-04:00,0.34878003873870667,0.47175630127134494,1.2423060556580732,-0.037649125987326434,0.2133771650003053
2020-10-05 00:00:00-04:00,0.3848290689487066,0.5294930071782413,1.3130397658586452,-0.003230825562891601,0.27607223989150453
2020-10-06 00:00:00-04:00,0.34637111786166597,0.47407912633392474,1.2184358758199265,-0.043859376269017494,0.22645167402180685
2020-10-07 00:00:00-04:00,0.3800968240565135,0.505933811553553,1.309693617627687,-0.035317023543707055,0.2873650752295975
2020-10-08 00:00:00-04:00,0.3865499592655293,0.5041086977539645,1.304793671996142,-0.003343092243842599,0.3158998319093419
